프로그램구분,기관,일련번호,지역,국가명,대학명(국문),대학명(영문),지원자격_최소학점,지원자격_어학성적,지원자격_특이사항,참고사항,수학가능학과/영어강의목록 등,유의사항,웹사이트,언어권구분,어학시험명,어학시험점수
일반교환,자매대학,E0034,유럽,독일,로이파나대,Leuphana University of Luneburg,-,"영어B2 
독일어E2",,"* 위치: Lüneburg
* 특징: 학생 수 약 10,000명","★ 수학가능학과: Digital Media, Economics, Global Environmental & Sustainability Studies, International Business Administration & Entrepreneurship, Psychology (Principles), StudiumIndividuale
* 일부과목 수강가능

★ 수강가능과목: 독일어, 영어
https://mystudy.leuphana.de/portal/home?error=nosession&request=%2Fvvz%2Fshow",,https://www.leuphana.de/en/services/io/incomings/exchange.html,"독일어, 영어(유럽)",영어(유럽),B2
일반교환,자매대학,E0034,유럽,독일,로이파나대,Leuphana University of Luneburg,-,"영어B2 
독일어E2",,"* 위치: Lüneburg
* 특징: 학생 수 약 10,000명","★ 수학가능학과: Digital Media, Economics, Global Environmental & Sustainability Studies, International Business Administration & Entrepreneurship, Psychology (Principles), StudiumIndividuale
* 일부과목 수강가능

★ 수강가능과목: 독일어, 영어
https://mystudy.leuphana.de/portal/home?error=nosession&request=%2Fvvz%2Fshow",,https://www.leuphana.de/en/services/io/incomings/exchange.html,"독일어, 영어(유럽)",독일어,E2
일반교환,자매대학,E0036,유럽,독일,플렌스부르크대,Europa-Universitat Flensburg,-,"TOEFL(iBT) 78
독일어 E1",,"* 위치: Flensburg
* 특징: 학생 수 약 6,200명
         2학년부터 지원 가능(2개 학기 이상 수료)","★ 수학가능학과: B.A. European Cultures and Society (100% in English), B.A. International Management (Trilingual: German, English, Spanish or Danish), B.A. Social Sciences: Social and Political Change (Bilingual: German, English), B.A. Transcultural European Studies (German, Spanish, French), B.A. Education
★ 수강가능과목
1) https://www.uni-flensburg.de/en/international/coming-to-flensburg/international-students/application-and-courses/exchange-students#c138281
2) course catalogue: https://www.uni-flensburg.de/en/international/coming-to-flensburg/international-students/application-and-courses/exchange-students/courses-fall-semester",,https://www.uni-flensburg.de/en/international,"독일어, 영어(유럽)",TOEFL,78
일반교환,자매대학,E0036,유럽,독일,플렌스부르크대,Europa-Universitat Flensburg,-,"TOEFL(iBT) 78
독일어 E1",,"* 위치: Flensburg
* 특징: 학생 수 약 6,200명
         2학년부터 지원 가능(2개 학기 이상 수료)","★ 수학가능학과: B.A. European Cultures and Society (100% in English), B.A. International Management (Trilingual: German, English, Spanish or Danish), B.A. Social Sciences: Social and Political Change (Bilingual: German, English), B.A. Transcultural European Studies (German, Spanish, French), B.A. Education
★ 수강가능과목
1) https://www.uni-flensburg.de/en/international/coming-to-flensburg/international-students/application-and-courses/exchange-students#c138281
2) course catalogue: https://www.uni-flensburg.de/en/international/coming-to-flensburg/international-students/application-and-courses/exchange-students/courses-fall-semester",,https://www.uni-flensburg.de/en/international,"독일어, 영어(유럽)",독일어,E1
일반교환,자매대학,E0037,유럽,독일,페히타대,University of Vechta,-,"영어 B2
독일어 E2","*대부분의 수업이 독일어로 진행
독일어 E2 권장","* 위치: Vechta
* 특징: teacher training, social service, gerontology 분야에 주력","★ 수학가능학과: 모든학과 선택가능(Bachelor)
                      International Management and Practical Ethic, Social Work and Gerontology
★ 수강가능과목(대부분 독일어 사용)
https://www.uni-vechta.de/en/international-office/coming-to-vechta/exchange-studies",,https://www.uni-vechta.de/en/international-office/coming-to-vechta/exchange-studies,"독일어, 영어(유럽)",영어(유럽),B2
일반교환,자매대학,E0037,유럽,독일,페히타대,University of Vechta,-,"영어 B2
독일어 E2","*대부분의 수업이 독일어로 진행
독일어 E2 권장","* 위치: Vechta
* 특징: teacher training, social service, gerontology 분야에 주력","★ 수학가능학과: 모든학과 선택가능(Bachelor)
                      International Management and Practical Ethic, Social Work and Gerontology
★ 수강가능과목(대부분 독일어 사용)
https://www.uni-vechta.de/en/international-office/coming-to-vechta/exchange-studies",,https://www.uni-vechta.de/en/international-office/coming-to-vechta/exchange-studies,"독일어, 영어(유럽)",독일어,E2
일반교환,자매대학,E0039,유럽,라트비아,리에파야대,Liepaja University,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800",,"* 위치: Liepāja
* 특징: 학생 수 약 1,500명  ","★ 수학가능학과: Science and Engineering, Humanities and Arts, Pedagogy and Social Work, Mangement and Social Sciences
* 일부과목 수강가능

★ 수강가능과목(2021): https://www.liepu.lv/en/36/offered-subjects
* Work Language 확인 필요",,https://www.liepu.lv/en/38/erasmus-mobility,영어(유럽),TOEFL,75
일반교환,자매대학,E0039,유럽,라트비아,리에파야대,Liepaja University,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800",,"* 위치: Liepāja
* 특징: 학생 수 약 1,500명  ","★ 수학가능학과: Science and Engineering, Humanities and Arts, Pedagogy and Social Work, Mangement and Social Sciences
* 일부과목 수강가능

★ 수강가능과목(2021): https://www.liepu.lv/en/36/offered-subjects
* Work Language 확인 필요",,https://www.liepu.lv/en/38/erasmus-mobility,영어(유럽),IELTS,5.5
일반교환,자매대학,E0039,유럽,라트비아,리에파야대,Liepaja University,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800",,"* 위치: Liepāja
* 특징: 학생 수 약 1,500명  ","★ 수학가능학과: Science and Engineering, Humanities and Arts, Pedagogy and Social Work, Mangement and Social Sciences
* 일부과목 수강가능

★ 수강가능과목(2021): https://www.liepu.lv/en/36/offered-subjects
* Work Language 확인 필요",,https://www.liepu.lv/en/38/erasmus-mobility,영어(유럽),TOEIC,800
일반교환,자매대학,E0040,유럽,러시아,모스크바대,Moscow State University,-,"TOEFL 80
IELTS 6.0",TOEIC/TOEFL ITP 제외 ,"* 위치: Moscow
* 특징: 학생 수 약 47,000명 
          러시아 1위 대학
          본교와 교류 중인 한국인 교수님 (한국어 학과) 있음. ","★ 수학가능학과: 상대교의 상황에 따라 수학가능학과 제한적일 수 있음

★ 수강가능과목: https://international.msu.ru/mobility-en#english_courses",,https://international.msu.ru/mobility,영어(유럽),TOEFL,80
일반교환,자매대학,E0040,유럽,러시아,모스크바대,Moscow State University,-,"TOEFL 80
IELTS 6.0",TOEIC/TOEFL ITP 제외 ,"* 위치: Moscow
* 특징: 학생 수 약 47,000명 
          러시아 1위 대학
          본교와 교류 중인 한국인 교수님 (한국어 학과) 있음. ","★ 수학가능학과: 상대교의 상황에 따라 수학가능학과 제한적일 수 있음

★ 수강가능과목: https://international.msu.ru/mobility-en#english_courses",,https://international.msu.ru/mobility,영어(유럽),IELTS,6.0
일반교환,자매대학,E0041,유럽,러시아,로스토프경제대,Rostov State University of Economics,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800",,"* 위치: Rostov-on-Don
* 특징: 학생 수 약 23,000명","★ 수학가능학과: 상대교의 상황에 따라 수학가능학과 제한적일 수 있음

★ 수강가능과목: https://rsue.ru/raspisanie/
* 각 과목의 수강요건 확인 필요",,https://en.rsue.ru,영어(유럽),TOEFL,75
일반교환,자매대학,E0041,유럽,러시아,로스토프경제대,Rostov State University of Economics,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800",,"* 위치: Rostov-on-Don
* 특징: 학생 수 약 23,000명","★ 수학가능학과: 상대교의 상황에 따라 수학가능학과 제한적일 수 있음

★ 수강가능과목: https://rsue.ru/raspisanie/
* 각 과목의 수강요건 확인 필요",,https://en.rsue.ru,영어(유럽),IELTS,5.5
일반교환,자매대학,E0041,유럽,러시아,로스토프경제대,Rostov State University of Economics,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800",,"* 위치: Rostov-on-Don
* 특징: 학생 수 약 23,000명","★ 수학가능학과: 상대교의 상황에 따라 수학가능학과 제한적일 수 있음

★ 수강가능과목: https://rsue.ru/raspisanie/
* 각 과목의 수강요건 확인 필요",,https://en.rsue.ru,영어(유럽),TOEIC,800
일반교환,자매대학,E0042,유럽,러시아,우랄연방대,Ural Federal University,-,영어 B2,TOEIC 제외,"* 위치: Yekaterinburg
* 특징: 학생 수 약 35,000명","★ 수학가능학과: Economics and Management(상경계열)
* 하단(수강가능과목) 참조

★ 수강가능과목(2024): https://urfu.ru/fileadmin/user_upload/urfu.ru_en/Docs/UrFU_List_of_courses_taught_in_English_2023-2024.pdf",,https://urfu.ru/en/international/inbound-mobility/,영어(유럽),영어(유럽),B2
일반교환,자매대학,E0043,유럽,러시아,튜멘대,University of Tyumen,-,영어 B2,,"* 위치: Tyumen (러시아 천연 자원의 중심지) 
* 특징: 학생 수 약 27,000명
         현지에 Korean Center 있음","★ 수학가능학과: 상대교의 상황에 따라 수학가능학과 제한적일 수 있음

★ 수강가능과목: 영어
https://www.utmn.ru/en/study-with-us/step/",,https://www.utmn.ru/o-tyumgu/mezhdunarodnaya-deyatelnost/studentam-tyumgu/studencheskiy-obmen-s-universitetami-partnerami/,영어(유럽),영어(유럽),B2
일반교환,자매대학,E0044,유럽,러시아,부랴트 국립대,(Banzarov) Buryat State University,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800",,"* 위치: Ulan-Ude
* 특징: 학생 수 약 11,198명","★ 수학가능학과: Biology & Geography and Land Management, Social Work and Psychology, Chemistry, Physical Training & Sport and Tourism, History, Law
* 일부과목 수강가능

★ 수강가능과목: https://www.bsu.ru/abit/international/
https://www.bsu.ru/university/international/
* Brochure ""Admission campaign -2021""
* 각 과목의 수강요건 확인 필요",,https://en.bsu.ru/intenational-cooperation/ird/,영어(유럽),TOEFL,75
일반교환,자매대학,E0044,유럽,러시아,부랴트 국립대,(Banzarov) Buryat State University,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800",,"* 위치: Ulan-Ude
* 특징: 학생 수 약 11,198명","★ 수학가능학과: Biology & Geography and Land Management, Social Work and Psychology, Chemistry, Physical Training & Sport and Tourism, History, Law
* 일부과목 수강가능

★ 수강가능과목: https://www.bsu.ru/abit/international/
https://www.bsu.ru/university/international/
* Brochure ""Admission campaign -2021""
* 각 과목의 수강요건 확인 필요",,https://en.bsu.ru/intenational-cooperation/ird/,영어(유럽),IELTS,5.5
일반교환,자매대학,E0044,유럽,러시아,부랴트 국립대,(Banzarov) Buryat State University,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800",,"* 위치: Ulan-Ude
* 특징: 학생 수 약 11,198명","★ 수학가능학과: Biology & Geography and Land Management, Social Work and Psychology, Chemistry, Physical Training & Sport and Tourism, History, Law
* 일부과목 수강가능

★ 수강가능과목: https://www.bsu.ru/abit/international/
https://www.bsu.ru/university/international/
* Brochure ""Admission campaign -2021""
* 각 과목의 수강요건 확인 필요",,https://en.bsu.ru/intenational-cooperation/ird/,영어(유럽),TOEIC,800
일반교환,자매대학,E0045,유럽,러시아,국립 모스크바 외국어 대학교,Moscow State Linguistic University,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800",*대부분의 수업이 러시아어로 진행,"* 위치: Moscow 
* 특징: 학생 수 약 10,000명
         언어학 분야에서 러시아 최상위권 대학","★ 수학가능학과: International Relations and Socio-Political Sciences, Translation, International Law and Justice, Information Sciences, English, German, French, Humanities and Applied Sciences, International Educational Programs
* 일부과목 수강가능

★ 수강가능과목: https://linguanet.ru/sotrudnichestvo/inostrannym-studentam/uchebnaya-programma-dlya-inostrannykh-studentov-/
* 각 과목의 수강요건 확인 필요",,https://linguanet.ru/sotrudnichestvo/upravlenie-mezhdunarodnogo-sotrudnichestva/informatsiya-dlya-inostrannykh-studentov/,영어(유럽),TOEFL,75
일반교환,자매대학,E0045,유럽,러시아,국립 모스크바 외국어 대학교,Moscow State Linguistic University,-,"TOEFL(iBT) 75
IELTS 5.5
TOEIC 800",*대부분의 수업이 러시아어로 진행,"* 위치: Moscow 
* 특징: 학생 수 약 10,000명
         언어학 분야에서 러시아 최상위권 대학","★ 수학가능학과: International Relations and Socio-Political Sciences, Translation, International Law and Justice, Information Sciences, English, German, French, Humanities and Applied Sciences, International Educational Programs
* 일부과목 수강가능

★ 수강가능과목: https://linguanet.ru/sotrudnichestvo/inostrannym-studentam/uchebnaya-programma-dlya-inostrannykh-studentov-/
* 각 과목의 수강요건 확인 필요",,https://linguanet.ru/sotrudnichestvo/upravlenie-mezhdunarodnogo-sotrudnichestva/informatsiya-dlya-inostrannykh-studentov/,영어(유럽),IELTS,5.5
