reports_univ,school_candidate,similarity_score
Hanze University of Applied Sciences,Vorarlberg University of Applied Sciences,91
Brno University Of Technology,Hubei University of Technology(湖北工业大学),91
Brno University Of Technology,Auckland University of Technology,91
Dresden University of Applied Sciences,Worms University of Applied Sciences,91
Worms University of applied sciences,The Hague University of Applied Sciences,91
Hochschule Augsburg University of Applied Sciences,Worms University of Applied Sciences,91
Regensburg University of Applied Sciences,Worms University of Applied Sciences,91
Darmstadt University of Applied Sciences,Worms University of Applied Sciences,91
Worms University of Applied Sciences,Peruvian University of Applied Sciences,91
Muenster University of Applied Sciences,Worms University of Applied Sciences,91
Worms University of Applied Sciences,Helsinki Metropolia University of Applied Sciences,91
Regensburg University of Applied Sciences (OTH Regensburg),Worms University of Applied Sciences,91
Worms University of Applied Sciences,Savonia University of Applied Sciences,91
Hochschule Darmstadt University Of Applied Sciences,Worms University of Applied Sciences,91
Hanze University of Applied Sciences,Savonia University of Applied Sciences,91
TH Köln University of Applied Sciences,Savonia University of Applied Sciences,90
TH Köln – University of Applied Sciences,Kaiserslautern University of Applied Sciences,90
TH Köln – University of Applied Sciences,Tampere University of Applied Sciences,90
Hochschule Kaiserslautern (University of Applied Sciences),Saxion University of Applied Sciences,90
TH Köln – University of Applied Sciences,Savonia University of Applied Sciences,90
TH Köln University of Applied Sciences,The Hague University of Applied Sciences,90
Saxion University of Applied Sciences,Kaiserslautern University of Applied Sciences,90
Tampere University of Applied Sciences,Saxion University of Applied Sciences,90
TH Köln University of Applied Sciences,Saxion University of Applied Sciences,90
Saxion University of Applied Sciences,The Hague University of Applied Sciences,90
TH Köln – University of Applied Sciences,Vorarlberg University of Applied Sciences,90
Helsinki Metropolia University of Applied Sciences,Saxion University of Applied Sciences,90
Hanze University of Applied Sciences Groningen,Saxion University of Applied Sciences,90
TH Köln University of Applied Sciences,Peruvian University of Applied Sciences,90
Kaiserslautern University of Applied Sciences,Saxion University of Applied Sciences,90
TH Köln University of Applied Sciences,Vorarlberg University of Applied Sciences,90
TH Köln – University of Applied Sciences,Peruvian University of Applied Sciences,90
Regensburg University of Applied Sciences (OTH Regensburg),Saxion University of Applied Sciences,90
TH Köln University of Applied Sciences,Helsinki Metropolia University of Applied Sciences,90
TH Köln University of Applied Sciences,Tampere University of Applied Sciences,90
The Hague University of Applied Sciences,Saxion University of Applied Sciences,90
TH Köln – University of Applied Sciences,Helsinki Metropolia University of Applied Sciences,90
TH Köln University of Applied Sciences,Kaiserslautern University of Applied Sciences,90
FHWien der wkw university of applied sciences,Saxion University of Applied Sciences,90
TH Köln – University of Applied Sciences,Saxion University of Applied Sciences,90
Aachen University of Applied Sciences,The Hague University of Applied Sciences,90
Aachen University of Applied Sciences,Kaiserslautern University of Applied Sciences,90
Dresden University of Applied Sciences,Saxion University of Applied Sciences,90
Furtwangen University of Applied Sciences,Saxion University of Applied Sciences,90
Aachen University of Applied Sciences,Vorarlberg University of Applied Sciences,90
European University of Applied Sciences,Saxion University of Applied Sciences,90
Augsburg University of Applied Sciences,Saxion University of Applied Sciences,90
Aachen University of Applied Sciences,Savonia University of Applied Sciences,90
Regensburg University of Applied Sciences,Saxion University of Applied Sciences,90
Aachen University of Applied Sciences,Tampere University of Applied Sciences,90
Aachen University of Applied Sciences,Helsinki Metropolia University of Applied Sciences,90
Aachen University of Applied Sciences,Peruvian University of Applied Sciences,90
Darmstadt University of Applied Sciences,Saxion University of Applied Sciences,90
Hochschule Augsburg University of Applied Sciences,Saxion University of Applied Sciences,90
European University of Applied Sciences,Peruvian University of Applied Sciences,90
Hochschule Darmstadt University Of Applied Sciences,Saxion University of Applied Sciences,90
FH Aachen University of Applied Sciences,Saxion University of Applied Sciences,90
Aachen University of Applied Sciences,Saxion University of Applied Sciences,90
Fachhochschule Münster University of Applied Sciences,Saxion University of Applied Sciences,90
Alice Salomon University of Applied Sciences,Saxion University of Applied Sciences,90
TH Köln – University of Applied Sciences,The Hague University of Applied Sciences,90
Saxion University of Applied Sciences,Vorarlberg University of Applied Sciences,90
Muenster University of Applied Sciences,Saxion University of Applied Sciences,90
Saxion University of Applied Sciences,Tampere University of Applied Sciences,90
Vorarlberg University of Applied Sciences,Saxion University of Applied Sciences,90
Aachen University of Applied Science,HZ University of Applied Sciences,90
Saxion University of Applied Sciences,Helsinki Metropolia University of Applied Sciences,90
Saxion University of Applied Sciences,Peruvian University of Applied Sciences,90
SOAS University of London,University of the Arts London,89
San Francisco state university,San Jose State University,89
Saxion University of applied science,Hof University of Applied Sciences,89
"University of California, Santa Barbara","University of California, Davis",89
"University of California, Davis","University of California, Los Angeles",89
San Francisco State University,San Jose State University,89
Hof Applied Science University,Oulu University of Applied Sciences,89
"University of California, Davis","University of California, San Diego",89
University of California Los Angeles,"University of California, Davis",89
University of California at Riverside,"University of California, Davis",89
"University of California, Davis","University of California, Santa Barbara",89
"University of Nevada, Las Vegas","University of Nevada, Reno",89
Radboud Universiteit,Radboud University,89
Aachen University of Applied Science,Hof University of Applied Sciences,89
"University of California, Davis",University of California at Riverside,89
